分類,Aは,Bを,何て呼んでる？,どう思ってる？
教え子,ティリアシール・フリーマン (%E3%82%AD%E3%83%A3%E3%83%A9%E3%82%AF%E3%82%BF%E3%83%BC/%E3%83%86%E3%82%A3%E3%83%AA%E3%82%A2%E3%82%B7%E3%83%BC%E3%83%AB%E3%83%BB%E3%83%95%E3%83%AA%E3%83%BC%E3%83%9E%E3%83%B3%20fe29b4a814694d4ba8dfc3e0ad1cfab2.csv),リリアーナ・クレール(主人公) (%E3%82%AD%E3%83%A3%E3%83%A9%E3%82%AF%E3%82%BF%E3%83%BC/%E3%83%AA%E3%83%AA%E3%82%A2%E3%83%BC%E3%83%8A%E3%83%BB%E3%82%AF%E3%83%AC%E3%83%BC%E3%83%AB(%E4%B8%BB%E4%BA%BA%E5%85%AC)%20ea7ae41fb9f84960bd1b7ef06d755a16.csv),リリアちゃん,"かわいい教え子。
自身の後継。
アイテールとの争いにおけるトロフィー。
「とっても目の肥えた優秀な子です。大体理屈じゃなくて直観と感覚で動くので教えるときは実際に体で教えてあげましょう。彼女はきっと、善いことを愛する子になってくれます」"
師,リリアーナ・クレール(主人公) (%E3%82%AD%E3%83%A3%E3%83%A9%E3%82%AF%E3%82%BF%E3%83%BC/%E3%83%AA%E3%83%AA%E3%82%A2%E3%83%BC%E3%83%8A%E3%83%BB%E3%82%AF%E3%83%AC%E3%83%BC%E3%83%AB(%E4%B8%BB%E4%BA%BA%E5%85%AC)%20ea7ae41fb9f84960bd1b7ef06d755a16.csv),ティリアシール・フリーマン (%E3%82%AD%E3%83%A3%E3%83%A9%E3%82%AF%E3%82%BF%E3%83%BC/%E3%83%86%E3%82%A3%E3%83%AA%E3%82%A2%E3%82%B7%E3%83%BC%E3%83%AB%E3%83%BB%E3%83%95%E3%83%AA%E3%83%BC%E3%83%9E%E3%83%B3%20fe29b4a814694d4ba8dfc3e0ad1cfab2.csv),ティリア先生,"偉大な恩師。
憧れの人。
「天然でちょっと抜けてるところがあるけど、すっごく優しくてかっこいい人だよ。フリフリドレスもかわいいし……まぁ、頭の中も多分ドレスと一緒でふわふわだけど……」"
師,アリス・アグラニオケ・セイファート (%E3%82%AD%E3%83%A3%E3%83%A9%E3%82%AF%E3%82%BF%E3%83%BC/%E3%82%A2%E3%83%AA%E3%82%B9%E3%83%BB%E3%82%A2%E3%82%B0%E3%83%A9%E3%83%8B%E3%82%AA%E3%82%B1%E3%83%BB%E3%82%BB%E3%82%A4%E3%83%95%E3%82%A1%E3%83%BC%E3%83%88%200d8f91cc82dc4b86b4d4ec2813790545.csv),ティリアシール・フリーマン (%E3%82%AD%E3%83%A3%E3%83%A9%E3%82%AF%E3%82%BF%E3%83%BC/%E3%83%86%E3%82%A3%E3%83%AA%E3%82%A2%E3%82%B7%E3%83%BC%E3%83%AB%E3%83%BB%E3%83%95%E3%83%AA%E3%83%BC%E3%83%9E%E3%83%B3%20fe29b4a814694d4ba8dfc3e0ad1cfab2.csv),ティリアシール,"不信。
嫌気。
しかし、本当は尊敬や好意もあり、仲直りをしたい気持ちもある。
「あなたは、そうしてまた犠牲者を増やすのか」"
教え子,ティリアシール・フリーマン (%E3%82%AD%E3%83%A3%E3%83%A9%E3%82%AF%E3%82%BF%E3%83%BC/%E3%83%86%E3%82%A3%E3%83%AA%E3%82%A2%E3%82%B7%E3%83%BC%E3%83%AB%E3%83%BB%E3%83%95%E3%83%AA%E3%83%BC%E3%83%9E%E3%83%B3%20fe29b4a814694d4ba8dfc3e0ad1cfab2.csv),アリス・アグラニオケ・セイファート (%E3%82%AD%E3%83%A3%E3%83%A9%E3%82%AF%E3%82%BF%E3%83%BC/%E3%82%A2%E3%83%AA%E3%82%B9%E3%83%BB%E3%82%A2%E3%82%B0%E3%83%A9%E3%83%8B%E3%82%AA%E3%82%B1%E3%83%BB%E3%82%BB%E3%82%A4%E3%83%95%E3%82%A1%E3%83%BC%E3%83%88%200d8f91cc82dc4b86b4d4ec2813790545.csv),アリスちゃん,"かわいい教え子。
苦しめてしまったこと、その時に手を差し伸べなかったことを申し訳なく思っている。
「……ごめんなさい……ごめんね」"
親友,セリナ・アグラニオケ・スピーゲル (%E3%82%AD%E3%83%A3%E3%83%A9%E3%82%AF%E3%82%BF%E3%83%BC/%E3%82%BB%E3%83%AA%E3%83%8A%E3%83%BB%E3%82%A2%E3%82%B0%E3%83%A9%E3%83%8B%E3%82%AA%E3%82%B1%E3%83%BB%E3%82%B9%E3%83%94%E3%83%BC%E3%82%B2%E3%83%AB%20cceee9df12b749c7be0c0896bef376d5.csv),リリアーナ・クレール(主人公) (%E3%82%AD%E3%83%A3%E3%83%A9%E3%82%AF%E3%82%BF%E3%83%BC/%E3%83%AA%E3%83%AA%E3%82%A2%E3%83%BC%E3%83%8A%E3%83%BB%E3%82%AF%E3%83%AC%E3%83%BC%E3%83%AB(%E4%B8%BB%E4%BA%BA%E5%85%AC)%20ea7ae41fb9f84960bd1b7ef06d755a16.csv),リリアーナ,"尊敬。
友愛。
「いつも真っ直ぐで、自分に正直。
そういうところは、正直羨ましいと思います。
ところでリリアーナ、あなた私が1ヵ月前に貸した参考書いつ返すのかしら？」"
親友,リリアーナ・クレール(主人公) (%E3%82%AD%E3%83%A3%E3%83%A9%E3%82%AF%E3%82%BF%E3%83%BC/%E3%83%AA%E3%83%AA%E3%82%A2%E3%83%BC%E3%83%8A%E3%83%BB%E3%82%AF%E3%83%AC%E3%83%BC%E3%83%AB(%E4%B8%BB%E4%BA%BA%E5%85%AC)%20ea7ae41fb9f84960bd1b7ef06d755a16.csv),セリナ・アグラニオケ・スピーゲル (%E3%82%AD%E3%83%A3%E3%83%A9%E3%82%AF%E3%82%BF%E3%83%BC/%E3%82%BB%E3%83%AA%E3%83%8A%E3%83%BB%E3%82%A2%E3%82%B0%E3%83%A9%E3%83%8B%E3%82%AA%E3%82%B1%E3%83%BB%E3%82%B9%E3%83%94%E3%83%BC%E3%82%B2%E3%83%AB%20cceee9df12b749c7be0c0896bef376d5.csv),セリナちゃん,"尊敬。
友愛。
「すっごい努力家で、人よりたくさん頑張ってるのに、それでもそういうことひけらかさないの、すごいと思うな。もうちょっと肩の力抜いてもいいかなとも思うけどね。」"
師,セリナ・アグラニオケ・スピーゲル (%E3%82%AD%E3%83%A3%E3%83%A9%E3%82%AF%E3%82%BF%E3%83%BC/%E3%82%BB%E3%83%AA%E3%83%8A%E3%83%BB%E3%82%A2%E3%82%B0%E3%83%A9%E3%83%8B%E3%82%AA%E3%82%B1%E3%83%BB%E3%82%B9%E3%83%94%E3%83%BC%E3%82%B2%E3%83%AB%20cceee9df12b749c7be0c0896bef376d5.csv),ティリアシール・フリーマン (%E3%82%AD%E3%83%A3%E3%83%A9%E3%82%AF%E3%82%BF%E3%83%BC/%E3%83%86%E3%82%A3%E3%83%AA%E3%82%A2%E3%82%B7%E3%83%BC%E3%83%AB%E3%83%BB%E3%83%95%E3%83%AA%E3%83%BC%E3%83%9E%E3%83%B3%20fe29b4a814694d4ba8dfc3e0ad1cfab2.csv),ティリア先生,"感服。
疑問。
「リリアーナのお師匠様らしいけれど、実際はどこまで本気なのかしら。
ほかにも謎がたくさんあるのよね、あの学園長先生」"
教え子,ティリアシール・フリーマン (%E3%82%AD%E3%83%A3%E3%83%A9%E3%82%AF%E3%82%BF%E3%83%BC/%E3%83%86%E3%82%A3%E3%83%AA%E3%82%A2%E3%82%B7%E3%83%BC%E3%83%AB%E3%83%BB%E3%83%95%E3%83%AA%E3%83%BC%E3%83%9E%E3%83%B3%20fe29b4a814694d4ba8dfc3e0ad1cfab2.csv),セリナ・アグラニオケ・スピーゲル (%E3%82%AD%E3%83%A3%E3%83%A9%E3%82%AF%E3%82%BF%E3%83%BC/%E3%82%BB%E3%83%AA%E3%83%8A%E3%83%BB%E3%82%A2%E3%82%B0%E3%83%A9%E3%83%8B%E3%82%AA%E3%82%B1%E3%83%BB%E3%82%B9%E3%83%94%E3%83%BC%E3%82%B2%E3%83%AB%20cceee9df12b749c7be0c0896bef376d5.csv),セリナちゃん,"期待。
好意。
「なかなか見どころのある生徒ではありますね。
ぜひぜひリリアちゃんのこと、よろしくお願いしますね」"
親戚,アリス・アグラニオケ・セイファート (%E3%82%AD%E3%83%A3%E3%83%A9%E3%82%AF%E3%82%BF%E3%83%BC/%E3%82%A2%E3%83%AA%E3%82%B9%E3%83%BB%E3%82%A2%E3%82%B0%E3%83%A9%E3%83%8B%E3%82%AA%E3%82%B1%E3%83%BB%E3%82%BB%E3%82%A4%E3%83%95%E3%82%A1%E3%83%BC%E3%83%88%200d8f91cc82dc4b86b4d4ec2813790545.csv),セリナ・アグラニオケ・スピーゲル (%E3%82%AD%E3%83%A3%E3%83%A9%E3%82%AF%E3%82%BF%E3%83%BC/%E3%82%BB%E3%83%AA%E3%83%8A%E3%83%BB%E3%82%A2%E3%82%B0%E3%83%A9%E3%83%8B%E3%82%AA%E3%82%B1%E3%83%BB%E3%82%B9%E3%83%94%E3%83%BC%E3%82%B2%E3%83%AB%20cceee9df12b749c7be0c0896bef376d5.csv),スピーゲルの末子,"興味。
静観。
「姉の末子だな。才能はあるが、度量はない。これからどうなるかは……見ものだな？」"
親戚,セリナ・アグラニオケ・スピーゲル (%E3%82%AD%E3%83%A3%E3%83%A9%E3%82%AF%E3%82%BF%E3%83%BC/%E3%82%BB%E3%83%AA%E3%83%8A%E3%83%BB%E3%82%A2%E3%82%B0%E3%83%A9%E3%83%8B%E3%82%AA%E3%82%B1%E3%83%BB%E3%82%B9%E3%83%94%E3%83%BC%E3%82%B2%E3%83%AB%20cceee9df12b749c7be0c0896bef376d5.csv),アリス・アグラニオケ・セイファート (%E3%82%AD%E3%83%A3%E3%83%A9%E3%82%AF%E3%82%BF%E3%83%BC/%E3%82%A2%E3%83%AA%E3%82%B9%E3%83%BB%E3%82%A2%E3%82%B0%E3%83%A9%E3%83%8B%E3%82%AA%E3%82%B1%E3%83%BB%E3%82%BB%E3%82%A4%E3%83%95%E3%82%A1%E3%83%BC%E3%83%88%200d8f91cc82dc4b86b4d4ec2813790545.csv),アリス叔母様,"尊敬。
脅威。
「私の……いえ、アグラニオケの憧れです。叔母様も私と同じ五大制圧者だと聞きました。であれば、努力次第で近づくことだってできるはず。」"
