名前,よみ,カテゴリ,主な使用者,主な魔法の使用者,具体的な魔術,関連キャラ（出身地）,関連キャラ（出身家系）,関連キャラ（在籍中）,関連キャラ（種族）,関連キャラ（過去に所属）
ダミー家系,,家系,,,,,,,,
ダミー種族,,種族,,,,,,,無題 (https://app.notion.com/p/e4ef4a58525d433197c025992687b2a8?pvs=21),
ダミー地名,,地名,,,,無題 (https://app.notion.com/p/e4ef4a58525d433197c025992687b2a8?pvs=21),,,,
ココン村,ここんむら,地名,,,,リリアーナ・クレール(主人公) (%E3%82%AD%E3%83%A3%E3%83%A9%E3%82%AF%E3%82%BF%E3%83%BC/%E3%83%AA%E3%83%AA%E3%82%A2%E3%83%BC%E3%83%8A%E3%83%BB%E3%82%AF%E3%83%AC%E3%83%BC%E3%83%AB(%E4%B8%BB%E4%BA%BA%E5%85%AC)%20ea7ae41fb9f84960bd1b7ef06d755a16.csv),,,,
クレール家,,家系,,,,,リリアーナ・クレール(主人公) (%E3%82%AD%E3%83%A3%E3%83%A9%E3%82%AF%E3%82%BF%E3%83%BC/%E3%83%AA%E3%83%AA%E3%82%A2%E3%83%BC%E3%83%8A%E3%83%BB%E3%82%AF%E3%83%AC%E3%83%BC%E3%83%AB(%E4%B8%BB%E4%BA%BA%E5%85%AC)%20ea7ae41fb9f84960bd1b7ef06d755a16.csv),,,
ローゼ＝フィアス魔術学園,,組織,,,,,,"リリアーナ・クレール(主人公) (%E3%82%AD%E3%83%A3%E3%83%A9%E3%82%AF%E3%82%BF%E3%83%BC/%E3%83%AA%E3%83%AA%E3%82%A2%E3%83%BC%E3%83%8A%E3%83%BB%E3%82%AF%E3%83%AC%E3%83%BC%E3%83%AB(%E4%B8%BB%E4%BA%BA%E5%85%AC)%20ea7ae41fb9f84960bd1b7ef06d755a16.csv), ティリアシール・フリーマン (%E3%82%AD%E3%83%A3%E3%83%A9%E3%82%AF%E3%82%BF%E3%83%BC/%E3%83%86%E3%82%A3%E3%83%AA%E3%82%A2%E3%82%B7%E3%83%BC%E3%83%AB%E3%83%BB%E3%83%95%E3%83%AA%E3%83%BC%E3%83%9E%E3%83%B3%20fe29b4a814694d4ba8dfc3e0ad1cfab2.csv), セリナ・アグラニオケ・スピーゲル (%E3%82%AD%E3%83%A3%E3%83%A9%E3%82%AF%E3%82%BF%E3%83%BC/%E3%82%BB%E3%83%AA%E3%83%8A%E3%83%BB%E3%82%A2%E3%82%B0%E3%83%A9%E3%83%8B%E3%82%AA%E3%82%B1%E3%83%BB%E3%82%B9%E3%83%94%E3%83%BC%E3%82%B2%E3%83%AB%20cceee9df12b749c7be0c0896bef376d5.csv), フレア・クライヴ (%E3%82%AD%E3%83%A3%E3%83%A9%E3%82%AF%E3%82%BF%E3%83%BC/%E3%83%95%E3%83%AC%E3%82%A2%E3%83%BB%E3%82%AF%E3%83%A9%E3%82%A4%E3%83%B4%20218ba867bf444ae6bfe952818e551b96.csv)",,
人間,,種族,,,,,,,"リリアーナ・クレール(主人公) (%E3%82%AD%E3%83%A3%E3%83%A9%E3%82%AF%E3%82%BF%E3%83%BC/%E3%83%AA%E3%83%AA%E3%82%A2%E3%83%BC%E3%83%8A%E3%83%BB%E3%82%AF%E3%83%AC%E3%83%BC%E3%83%AB(%E4%B8%BB%E4%BA%BA%E5%85%AC)%20ea7ae41fb9f84960bd1b7ef06d755a16.csv), ティリアシール・フリーマン (%E3%82%AD%E3%83%A3%E3%83%A9%E3%82%AF%E3%82%BF%E3%83%BC/%E3%83%86%E3%82%A3%E3%83%AA%E3%82%A2%E3%82%B7%E3%83%BC%E3%83%AB%E3%83%BB%E3%83%95%E3%83%AA%E3%83%BC%E3%83%9E%E3%83%B3%20fe29b4a814694d4ba8dfc3e0ad1cfab2.csv), アリス・アグラニオケ・セイファート (%E3%82%AD%E3%83%A3%E3%83%A9%E3%82%AF%E3%82%BF%E3%83%BC/%E3%82%A2%E3%83%AA%E3%82%B9%E3%83%BB%E3%82%A2%E3%82%B0%E3%83%A9%E3%83%8B%E3%82%AA%E3%82%B1%E3%83%BB%E3%82%BB%E3%82%A4%E3%83%95%E3%82%A1%E3%83%BC%E3%83%88%200d8f91cc82dc4b86b4d4ec2813790545.csv), セリナ・アグラニオケ・スピーゲル (%E3%82%AD%E3%83%A3%E3%83%A9%E3%82%AF%E3%82%BF%E3%83%BC/%E3%82%BB%E3%83%AA%E3%83%8A%E3%83%BB%E3%82%A2%E3%82%B0%E3%83%A9%E3%83%8B%E3%82%AA%E3%82%B1%E3%83%BB%E3%82%B9%E3%83%94%E3%83%BC%E3%82%B2%E3%83%AB%20cceee9df12b749c7be0c0896bef376d5.csv)",
宙の外側,そらのそとがわ,地名,,,,"ティリアシール・フリーマン (%E3%82%AD%E3%83%A3%E3%83%A9%E3%82%AF%E3%82%BF%E3%83%BC/%E3%83%86%E3%82%A3%E3%83%AA%E3%82%A2%E3%82%B7%E3%83%BC%E3%83%AB%E3%83%BB%E3%83%95%E3%83%AA%E3%83%BC%E3%83%9E%E3%83%B3%20fe29b4a814694d4ba8dfc3e0ad1cfab2.csv), アリス・アグラニオケ・セイファート (%E3%82%AD%E3%83%A3%E3%83%A9%E3%82%AF%E3%82%BF%E3%83%BC/%E3%82%A2%E3%83%AA%E3%82%B9%E3%83%BB%E3%82%A2%E3%82%B0%E3%83%A9%E3%83%8B%E3%82%AA%E3%82%B1%E3%83%BB%E3%82%BB%E3%82%A4%E3%83%95%E3%82%A1%E3%83%BC%E3%83%88%200d8f91cc82dc4b86b4d4ec2813790545.csv)",,,,
アークライト神族,,家系,,,,,ティリアシール・フリーマン (%E3%82%AD%E3%83%A3%E3%83%A9%E3%82%AF%E3%82%BF%E3%83%BC/%E3%83%86%E3%82%A3%E3%83%AA%E3%82%A2%E3%82%B7%E3%83%BC%E3%83%AB%E3%83%BB%E3%83%95%E3%83%AA%E3%83%BC%E3%83%9E%E3%83%B3%20fe29b4a814694d4ba8dfc3e0ad1cfab2.csv),,,
アグラニオケ一族,,家系,,,,,"アリス・アグラニオケ・セイファート (%E3%82%AD%E3%83%A3%E3%83%A9%E3%82%AF%E3%82%BF%E3%83%BC/%E3%82%A2%E3%83%AA%E3%82%B9%E3%83%BB%E3%82%A2%E3%82%B0%E3%83%A9%E3%83%8B%E3%82%AA%E3%82%B1%E3%83%BB%E3%82%BB%E3%82%A4%E3%83%95%E3%82%A1%E3%83%BC%E3%83%88%200d8f91cc82dc4b86b4d4ec2813790545.csv), セリナ・アグラニオケ・スピーゲル (%E3%82%AD%E3%83%A3%E3%83%A9%E3%82%AF%E3%82%BF%E3%83%BC/%E3%82%BB%E3%83%AA%E3%83%8A%E3%83%BB%E3%82%A2%E3%82%B0%E3%83%A9%E3%83%8B%E3%82%AA%E3%82%B1%E3%83%BB%E3%82%B9%E3%83%94%E3%83%BC%E3%82%B2%E3%83%AB%20cceee9df12b749c7be0c0896bef376d5.csv)",,,
